,,,,基本属性,,,,,,,,,条件,,,,,,施放,,,,,,,,,,,,,,,,,飞行,,,,攻击,,,,,,,,,受击,,,,,,,,,,,,,,,,,,,      ,,,,
6529,超级白虎啸,864,21,0,1,1,0,,,无法造成实质的伤害效果，但会令对方晕眩4秒，并且引起对方仇视,"<P><FONT color=""#88aadd"">作用目标：宠物自身为中心200范围内的所有敌人</FONT></P><P><FONT color=""#808000"">左键单击设为自动释放</FONT></P>",pic_skill_pet_05s,35,,,0,,,10,0,60,1,1850,15000,skill02,,shit,eff_mon210_skill02,,,,,root,,,0,0,,,11,1,,200,1,1,1,,0,eph_skill_14hit,root,,,FireDmR-1;WaterDmR-1;PoisonDmR-1,,,,100,,,AddEff 516,,,,,,,,,,,1,
6530,初级虎王震波,865,21,0,1,1,0,,,物伤加成=0,"<P><FONT color=""#88aadd"">作用目标：以敌人为中心120范围内的3个敌人</FONT></P><P><FONT color=""#808000"">左键单击设为自动释放</FONT></P>",pic_skill_pet_06c,40,,,0,,,11,0,60,1,1850,15000,skill02,,shit,eff_mon301_skill02,,,,,root,,,0,0,,,11,1,3,120,1,1,0,,0,eph_skill_14hit,root,,,DamageMax+1;DamageMin+1;DamageMaxR+0.1;DamageMinR+0.1;FireDmR-1;WaterDmR-1;PoisonDmR-1,,,,,,,,,,,,,,,,,,,
6531,中级虎王震波,865,21,0,1,1,0,,,物伤加成=0.2,"<P><FONT color=""#88aadd"">作用目标：以敌人为中心120范围内的3个敌人</FONT></P><P><FONT color=""#808000"">左键单击设为自动释放</FONT></P>",pic_skill_pet_06b,40,,,0,,,11,0,60,1,1850,15000,skill02,,shit,eff_mon301_skill02,,,,,root,,,0,0,,,11,1,3,120,1,1,0,,0,eph_skill_14hit,root,,,DamageMax+1;DamageMin+1;DamageMaxR+0.3;DamageMinR+0.3;FireDmR-1;WaterDmR-1;PoisonDmR-1,,,,,,,,,,,,,,,,,,,
6532,高级虎王震波,865,21,0,1,1,0,,,物伤加成=0.5,"<P><FONT color=""#88aadd"">作用目标：以敌人为中心120范围内的3个敌人</FONT></P><P><FONT color=""#808000"">左键单击设为自动释放</FONT></P>",pic_skill_pet_06a,40,,,0,,,11,0,60,1,1850,15000,skill02,,shit,eff_mon301_skill02,,,,,root,,,0,0,,,11,1,3,120,1,1,0,,0,eph_skill_14hit,root,,,DamageMax+1;DamageMin+1;DamageMaxR+0.5;DamageMinR+0.5;FireDmR-1;WaterDmR-1;PoisonDmR-1,,,,,,,,,,,,,,,,,,,
6533,超级虎王震波,865,21,0,1,1,0,,,物伤加成=0.5，对方防御降低50%持续10秒,"<P><FONT color=""#88aadd"">作用目标：以敌人为中心120范围内的3个敌人</FONT></P><P><FONT color=""#808000"">左键单击设为自动释放</FONT></P>",pic_skill_pet_06s,40,,,0,,,11,0,60,1,1850,15000,skill02,,shit,eff_mon301_skill02,,,,,root,,,0,0,,,11,1,3,120,1,1,0,,0,eph_skill_14hit,root,,,DamageMax+1;DamageMin+1;DamageMaxR+0.5;DamageMinR+0.5;FireDmR-1;WaterDmR-1;PoisonDmR-1,,,,100,,,AddEff 505,,,,,,,,,,,,
6534,初级火柱,866,21,0,1,1,0,,,火伤加成=4,"<P><FONT color=""#88aadd"">作用目标：敌方单体</FONT></P><P><FONT color=""#808000"">左键单击设为自动释放</FONT></P>",pic_skill_pet_07c,35,,,0,,,11,0,60,1,1850,6000,skill01,,shit,epf_skill17,,,,,root,,,0,0,,,11,0,,,1,1,0,,0,ept_skill_08,root,,,FireDm+4;FireDmR+0.25;WaterDmR-1;PoisonDmR-1,,,,,,,,,,,,,,,,,,,
6535,中级火柱,866,21,0,1,1,0,,,火伤加成=5.5,"<P><FONT color=""#88aadd"">作用目标：敌方单体</FONT></P><P><FONT color=""#808000"">左键单击设为自动释放</FONT></P>",pic_skill_pet_07b,35,,,0,,,11,0,60,1,1850,6000,skill01,,shit,epf_skill17,,,,,root,,,0,0,,,11,0,,,1,1,0,,0,ept_skill_08,root,,,FireDm+4;FireDmR+0.625;WaterDmR-1;PoisonDmR-1,,,,,,,,,,,,,,,,,,,
6536,高级火柱,866,21,0,1,1,0,,,火伤加成=7.5,"<P><FONT color=""#88aadd"">作用目标：敌方单体</FONT></P><P><FONT color=""#808000"">左键单击设为自动释放</FONT></P>",pic_skill_pet_07a,35,,,0,,,11,0,60,1,1850,6000,skill01,,shit,epf_skill17,,,,,root,,,0,0,,,11,0,,,1,1,0,,0,ept_skill_08,root,,,FireDm+4;FireDmR+1;WaterDmR-1;PoisonDmR-1,,,,,,,,,,,,,,,,,,,
6537,超级火柱,866,21,0,1,1,0,,,火伤加成=7.5，对方持续10秒流血1%/2秒,"<P><FONT color=""#88aadd"">作用目标：敌方单体</FONT></P><P><FONT color=""#808000"">左键单击设为自动释放</FONT></P>",pic_skill_pet_07s,35,,,0,,,11,0,60,1,1850,6000,skill01,,shit,epf_skill17,,,,,root,,,0,0,,,11,0,,,1,1,0,,0,ept_skill_08,root,,,FireDm+4;FireDmR+1;WaterDmR-1;PoisonDmR-1,,,,100,,,AddEff 512,,,,,,,,,,,,
6538,初级暗涌,867,21,0,1,1,0,,,水伤加成=4,"<P><FONT color=""#88aadd"">作用目标：敌方单体</FONT></P><P><FONT color=""#808000"">左键单击设为自动释放</FONT></P>",pic_skill_pet_08c,35,,,0,,,11,0,60,1,1850,6000,skill01,,shit,eff_mon008_skill01_a,,,,,root,,,0,0,,,11,0,,,1,1,0,,0,ept_skill_13hit,root,,,WaterDm+4;WaterDmR+0.25;FireDmR-1;PoisonDmR-1,,,,,,,,,,,,,,,,,,,
6539,中级暗涌,867,21,0,1,1,0,,,水伤加成=5.5,"<P><FONT color=""#88aadd"">作用目标：敌方单体</FONT></P><P><FONT color=""#808000"">左键单击设为自动释放</FONT></P>",pic_skill_pet_08b,35,,,0,,,11,0,60,1,1850,6000,skill01,,shit,eff_mon008_skill01_a,,,,,root,,,0,0,,,11,0,,,1,1,0,,0,ept_skill_13hit,root,,,WaterDm+4;WaterDmR+0.625;FireDmR-1;PoisonDmR-1,,,,,,,,,,,,,,,,,,,
6540,高级暗涌,867,21,0,1,1,0,,,水伤加成=7.5,"<P><FONT color=""#88aadd"">作用目标：敌方单体</FONT></P><P><FONT color=""#808000"">左键单击设为自动释放</FONT></P>",pic_skill_pet_08a,35,,,0,,,11,0,60,1,1850,6000,skill01,,shit,eff_mon008_skill01_a,,,,,root,,,0,0,,,11,0,,,1,1,0,,0,ept_skill_13hit,root,,,WaterDm+4;WaterDmR+1;FireDmR-1;PoisonDmR-1,,,,,,,,,,,,,,,,,,,
6541,超级暗涌,867,21,0,1,1,0,,,水伤加成=7.5，30%概率对方冻结3秒,"<P><FONT color=""#88aadd"">作用目标：敌方单体</FONT></P><P><FONT color=""#808000"">左键单击设为自动释放</FONT></P>",pic_skill_pet_08s,35,,,0,,,11,0,60,1,1850,6000,skill01,,shit,eff_mon008_skill01_a,,,,,root,,,0,0,,,11,0,,,1,1,0,,0,ept_skill_13hit,root,,,WaterDm+4;WaterDmR+1;FireDmR-1;PoisonDmR-1,,,,30,,,AddEff 517,,,,,,,,,,,1,
6542,初级毒雾,868,21,0,1,1,0,,,毒伤加成=4,"<P><FONT color=""#88aadd"">作用目标：敌方单体</FONT></P><P><FONT color=""#808000"">左键单击设为自动释放</FONT></P>",pic_skill_pet_09c,35,,,0,,,11,0,60,1,1850,6000,skill01,,shit,eff_mon008_skill01_a,,,,,root,,,0,0,,,11,0,,,1,1,0,,0,epn_skill_23,root,,,PoisonDm+4;PoisonDmR+0.25;FireDmR-1;WaterDmR-1,,,,,,,,,,,,,,,,,,,
6543,中级毒雾,868,21,0,1,1,0,,,毒伤加成=5.5,"<P><FONT color=""#88aadd"">作用目标：敌方单体</FONT></P><P><FONT color=""#808000"">左键单击设为自动释放</FONT></P>",pic_skill_pet_09b,35,,,0,,,11,0,60,1,1850,6000,skill01,,shit,eff_mon008_skill01_a,,,,,root,,,0,0,,,11,0,,,1,1,0,,0,epn_skill_23,root,,,PoisonDm+4;PoisonDmR+0.625;FireDmR-1;WaterDmR-1,,,,,,,,,,,,,,,,,,,
6544,高级毒雾,868,21,0,1,1,0,,,毒伤加成=7.5,"<P><FONT color=""#88aadd"">作用目标：敌方单体</FONT></P><P><FONT color=""#808000"">左键单击设为自动释放</FONT></P>",pic_skill_pet_09a,35,,,0,,,11,0,60,1,1850,6000,skill01,,shit,eff_mon008_skill01_a,,,,,root,,,0,0,,,11,0,,,1,1,0,,0,epn_skill_23,root,,,PoisonDm+4;PoisonDmR+1;FireDmR-1;WaterDmR-1,,,,,,,,,,,,,,,,,,,
6545,超级毒雾,868,21,0,1,1,0,,,毒伤加成=7.5，对方生命上限减低20%持续15秒,"<P><FONT color=""#88aadd"">作用目标：敌方单体</FONT></P><P><FONT color=""#808000"">左键单击设为自动释放</FONT></P>",pic_skill_pet_09s,35,,,0,,,11,0,60,1,1850,6000,skill01,,shit,eff_mon008_skill01_a,,,,,root,,,0,0,,,11,0,,,1,1,0,,0,epn_skill_23,root,,,PoisonDm+4;PoisonDmR+1;FireDmR-1;WaterDmR-1,,,,100,,,AddEff 518,,,,,,,,,,,,
6546,初级爆焰,869,21,0,1,1,0,,,火伤加成=3,"<P><FONT color=""#88aadd"">作用目标：敌方单体</FONT></P><P><FONT color=""#808000"">左键单击设为自动释放</FONT></P>",pic_skill_pet_10c,25,,,0,,,11,0,200,1,1850,6000,skill01,,shit,epn_skill_21,,,,,root,,,0,0,,,11,0,,,1,1,0,,0,eff_mon056_skill01,root,,,FireDm+4;FireDmR+0;WaterDmR-1;PoisonDmR-1,,,,,,,,,,,,,,,,,,,
6547,中级爆焰,869,21,0,1,1,0,,,火伤加成=4,"<P><FONT color=""#88aadd"">作用目标：敌方单体</FONT></P><P><FONT color=""#808000"">左键单击设为自动释放</FONT></P>",pic_skill_pet_10b,25,,,0,,,11,0,200,1,1850,6000,skill01,,shit,epn_skill_21,,,,,root,,,0,0,,,11,0,,,1,1,0,,0,eff_mon056_skill01,root,,,FireDm+4;FireDmR+0.375;WaterDmR-1;PoisonDmR-1,,,,,,,,,,,,,,,,,,,
6548,高级爆焰,869,21,0,1,1,0,,,火伤加成=5,"<P><FONT color=""#88aadd"">作用目标：敌方单体</FONT></P><P><FONT color=""#808000"">左键单击设为自动释放</FONT></P>",pic_skill_pet_10a,25,,,0,,,11,0,200,1,1850,6000,skill01,,shit,epn_skill_21,,,,,root,,,0,0,,,11,0,,,1,1,0,,0,eff_mon056_skill01,root,,,FireDm+4;FireDmR+0.75;WaterDmR-1;PoisonDmR-1,,,,,,,,,,,,,,,,,,,
6549,超级爆焰,869,21,0,1,1,0,,,火伤加成=5，30%降低对方火防御上限30%持续10秒,"<P><FONT color=""#88aadd"">作用目标：敌方单体</FONT></P><P><FONT color=""#808000"">左键单击设为自动释放</FONT></P>",pic_skill_pet_10s,25,,,0,,,11,0,200,1,1850,6000,skill01,,shit,epn_skill_21,,,,,root,,,0,0,,,11,0,,,1,1,0,,0,eff_mon056_skill01,root,,,FireDm+4;FireDmR+0.75;WaterDmR-1;PoisonDmR-1,,,,30,,,AddEff 519,,,,,,,,,,,,
6550,初级冰刃,870,21,0,1,1,0,,,水伤加成=3,"<P><FONT color=""#88aadd"">作用目标：敌方单体</FONT></P><P><FONT color=""#808000"">左键单击设为自动释放</FONT></P>",pic_skill_pet_11c,25,,,0,,,11,0,200,1,1850,6000,skill01,,shit,epn_skill_19,,,,,root,,,0,0,,,11,0,,,1,1,0,,0,eff_mon306_attack,root,,,WaterDm+4;WaterDmR+0;FireDmR-1;PoisonDmR-1,,,,,,,,,,,,,,,,,,,
6551,中级冰刃,870,21,0,1,1,0,,,水伤加成=4.5,"<P><FONT color=""#88aadd"">作用目标：敌方单体</FONT></P><P><FONT color=""#808000"">左键单击设为自动释放</FONT></P>",pic_skill_pet_11b,25,,,0,,,11,0,200,1,1850,6000,skill01,,shit,epn_skill_19,,,,,root,,,0,0,,,11,0,,,1,1,0,,0,eff_mon306_attack,root,,,WaterDm+4;WaterDmR+0.375;FireDmR-1;PoisonDmR-1,,,,,,,,,,,,,,,,,,,
6552,高级冰刃,870,21,0,1,1,0,,,水伤加成=6,"<P><FONT color=""#88aadd"">作用目标：敌方单体</FONT></P><P><FONT color=""#808000"">左键单击设为自动释放</FONT></P>",pic_skill_pet_11a,25,,,0,,,11,0,200,1,1850,6000,skill01,,shit,epn_skill_19,,,,,root,,,0,0,,,11,0,,,1,1,0,,0,eff_mon306_attack,root,,,WaterDm+4;WaterDmR+0.75;FireDmR-1;PoisonDmR-1,,,,,,,,,,,,,,,,,,,
6553,超级冰刃,870,21,0,1,1,0,,,水伤加成=3.2，30%降低对方水防御上限30%持续10秒,"<P><FONT color=""#88aadd"">作用目标：敌方单体</FONT></P><P><FONT color=""#808000"">左键单击设为自动释放</FONT></P>",pic_skill_pet_11s,25,,,0,,,11,0,200,1,1850,6000,skill01,,shit,epn_skill_19,,,,,root,,,0,0,,,11,0,,,1,1,0,,0,eff_mon306_attack,root,,,WaterDm+4;WaterDmR+0.75;FireDmR-1;PoisonDmR-1,,,,30,,,AddEff 520,,,,,,,,,,,,
6554,初级尸毒,871,21,0,1,1,0,,,毒伤加成=2.5,"<P><FONT color=""#88aadd"">作用目标：敌方单体</FONT></P><P><FONT color=""#808000"">左键单击设为自动释放</FONT></P>",pic_skill_pet_12c,25,,,0,,,11,0,200,1,1850,6000,skill01,,shit,,,,,,root,,,0,0,,,11,0,,,1,1,0,,0,skill_buf18,root,,,PoisonDm+4;PoisonDmR+0;FireDmR-1;WaterDmR-1,,,,,,,,,,,,,,,,,,,
6555,中级尸毒,871,21,0,1,1,0,,,毒伤加成=2.8,"<P><FONT color=""#88aadd"">作用目标：敌方单体</FONT></P><P><FONT color=""#808000"">左键单击设为自动释放</FONT></P>",pic_skill_pet_12b,25,,,0,,,11,0,200,1,1850,6000,skill01,,shit,,,,,,root,,,0,0,,,11,0,,,1,1,0,,0,skill_buf18,root,,,PoisonDm+4;PoisonDmR+0.375;FireDmR-1;WaterDmR-1,,,,,,,,,,,,,,,,,,,
6556,高级尸毒,871,21,0,1,1,0,,,毒伤加成=3.2,"<P><FONT color=""#88aadd"">作用目标：敌方单体</FONT></P><P><FONT color=""#808000"">左键单击设为自动释放</FONT></P>",pic_skill_pet_12a,25,,,0,,,11,0,200,1,1850,6000,skill01,,shit,,,,,,root,,,0,0,,,11,0,,,1,1,0,,0,skill_buf18,root,,,PoisonDm+4;PoisonDmR+0.75;FireDmR-1;WaterDmR-1,,,,,,,,,,,,,,,,,,,
6557,超级尸毒,871,21,0,1,1,0,,,毒伤加成=3.2，30%降低对方毒防御上限30%持续10秒,"<P><FONT color=""#88aadd"">作用目标：敌方单体</FONT></P><P><FONT color=""#808000"">左键单击设为自动释放</FONT></P>",pic_skill_pet_12s,25,,,0,,,11,0,200,1,1850,6000,skill01,,shit,,,,,,root,,,0,0,,,11,0,,,1,1,0,,0,skill_buf18,root,,,PoisonDm+4;PoisonDmR+0.75;FireDmR-1;WaterDmR-1,,,,30,,,AddEff 521,,,,,,,,,,,,
6558,初级凤凰展,872,21,0,1,1,0,,,"火伤*0.5,对方30秒后受潜伏的一次火伤","<P><FONT color=""#88aadd"">作用目标：宠物自身为中心200范围内的所有敌人</FONT></P><P><FONT color=""#808000"">左键单击设为自动释放</FONT></P>",pic_skill_pet_13c,50,,,0,,,10,0,60,1,1850,10000,skill02,,shit,epf_skill_31,,,,,root,,,0,0,,,11,1,,200,1,1,1,,0,eph_skill_08_1hit,root,,,FireDm+8;FireDmR-0.5;WaterDmR-1;PoisonDmR-1,,,,100,,,AddEff 522,,,,,,,,,,,,
6559,中级凤凰展,872,21,0,1,1,0,,,"火伤*0.75,对方30秒后受潜伏的一次火伤","<P><FONT color=""#88aadd"">作用目标：宠物自身为中心200范围内的所有敌人</FONT></P><P><FONT color=""#808000"">左键单击设为自动释放</FONT></P>",pic_skill_pet_13b,50,,,0,,,10,0,60,1,1850,10000,skill02,,shit,epf_skill_31,,,,,root,,,0,0,,,11,1,,200,1,1,1,,0,eph_skill_08_1hit,root,,,FireDm+8;FireDmR-0.25;WaterDmR-1;PoisonDmR-1,,,,100,,,AddEff 522,,,,,,,,,,,,
6560,高级凤凰展,872,21,0,1,1,0,,,"火伤*1,对方30秒后受潜伏的一次火伤","<P><FONT color=""#88aadd"">作用目标：宠物自身为中心200范围内的所有敌人</FONT></P><P><FONT color=""#808000"">左键单击设为自动释放</FONT></P>",pic_skill_pet_13a,50,,,0,,,10,0,60,1,1850,10000,skill02,,shit,epf_skill_31,,,,,root,,,0,0,,,11,1,,200,1,1,1,,0,eph_skill_08_1hit,root,,,FireDm+8;FireDmR+0;WaterDmR-1;PoisonDmR-1,,,,100,,,AddEff 522,,,,,,,,,,,,
6561,超级凤凰展,872,21,0,1,1,0,,,"火伤*1,对方15秒后受潜伏的一次火伤","<P><FONT color=""#88aadd"">作用目标：宠物自身为中心200范围内的所有敌人</FONT></P><P><FONT color=""#808000"">左键单击设为自动释放</FONT></P>",pic_skill_pet_13s,50,,,0,,,10,0,60,1,1850,10000,skill02,,shit,epf_skill_31,,,,,root,,,0,0,,,11,1,,200,1,1,1,,0,eph_skill_08_1hit,root,,,FireDm+8;FireDmR+0;WaterDmR-1;PoisonDmR-1,,,,100,,,AddEff 524,,,,,,,,,,,,
6562,初级青龙呤,873,21,0,1,1,0,,,水伤*0.5，对方当前法力减少15%,"<P><FONT color=""#88aadd"">作用目标：宠物自身为中心200范围内的所有敌人</FONT></P><P><FONT color=""#808000"">左键单击设为自动释放</FONT></P>",pic_skill_pet_14c,50,,,0,,,10,0,60,1,1850,10000,skill02,,shit,ept_skill_17,,,,,root,,,0,0,,,11,1,,200,1,1,1,,0,eph_skill_07hit,root,,,WaterDm+8;WaterDmR-0.5;FireDmR-1;PoisonDmR-1,,,MPR-0.15,,,,,,,,,,,,,,,,
6563,中级青龙呤,873,21,0,1,1,0,,,水伤*0.75，对方当前法力减少15%,"<P><FONT color=""#88aadd"">作用目标：宠物自身为中心200范围内的所有敌人</FONT></P><P><FONT color=""#808000"">左键单击设为自动释放</FONT></P>",pic_skill_pet_14b,50,,,0,,,10,0,60,1,1850,10000,skill02,,shit,ept_skill_17,,,,,root,,,0,0,,,11,1,,200,1,1,1,,0,eph_skill_07hit,root,,,WaterDm+8;WaterDmR-0.25;FireDmR-1;PoisonDmR-1,,,MPR-0.15,,,,,,,,,,,,,,,,
6564,高级青龙呤,873,21,0,1,1,0,,,水伤*1，对方当前法力减少15,"<P><FONT color=""#88aadd"">作用目标：宠物自身为中心200范围内的所有敌人</FONT></P><P><FONT color=""#808000"">左键单击设为自动释放</FONT></P>",pic_skill_pet_14a,50,,,0,,,10,0,60,1,1850,10000,skill02,,shit,ept_skill_17,,,,,root,,,0,0,,,11,1,,200,1,1,1,,0,eph_skill_07hit,root,,,WaterDm+8;WaterDmR+0;FireDmR-1;PoisonDmR-1,,,MPR-0.15,,,,,,,,,,,,,,,,
6565,超级青龙呤,873,21,0,1,1,0,,,水伤*1，对方当前法力减少30%,"<P><FONT color=""#88aadd"">作用目标：宠物自身为中心200范围内的所有敌人</FONT></P><P><FONT color=""#808000"">左键单击设为自动释放</FONT></P>",pic_skill_pet_14s,50,,,0,,,10,0,60,1,1850,10000,skill02,,shit,ept_skill_17,,,,,root,,,0,0,,,11,1,,200,1,1,1,,0,eph_skill_07hit,root,,,WaterDm+8;WaterDmR+0;FireDmR-1;PoisonDmR-1,,,MPR-0.3,,,,,,,,,,,,,,,,
6566,初级玄蛇缠,874,21,0,1,1,0,,,毒伤*0.5，对方无法移动4秒,"<P><FONT color=""#88aadd"">作用目标：宠物自身为中心200范围内的所有敌人</FONT></P><P><FONT color=""#808000"">左键单击设为自动释放</FONT></P>",pic_skill_pet_15c,50,,,0,,,10,0,60,1,1850,10000,skill02,,shit,epn_skill_23,,,,,root,,,0,0,,,11,1,,200,1,1,1,,0,eff_bomb_hit,root,,,PoisonDm+8;PoisonDmR-0.5;FireDmR-1;WaterDmR-1,,,,100,,,AddEff 526,,,,,,,,,,,1,
6567,中级玄蛇缠,874,21,0,1,1,0,,,毒伤*0.75，对方无法移动4秒,"<P><FONT color=""#88aadd"">作用目标：宠物自身为中心200范围内的所有敌人</FONT></P><P><FONT color=""#808000"">左键单击设为自动释放</FONT></P>",pic_skill_pet_15b,50,,,0,,,10,0,60,1,1850,10000,skill02,,shit,epn_skill_23,,,,,root,,,0,0,,,11,1,,200,1,1,1,,0,eff_bomb_hit,root,,,PoisonDm+8;PoisonDmR-0.25;FireDmR-1;WaterDmR-1,,,,100,,,AddEff 526,,,,,,,,,,,1,
6568,高级玄蛇缠,874,21,0,1,1,0,,,毒伤*1，对方无法移动4秒,"<P><FONT color=""#88aadd"">作用目标：宠物自身为中心200范围内的所有敌人</FONT></P><P><FONT color=""#808000"">左键单击设为自动释放</FONT></P>",pic_skill_pet_15a,50,,,0,,,10,0,60,1,1850,10000,skill02,,shit,epn_skill_23,,,,,root,,,0,0,,,11,1,,200,1,1,1,,0,eff_bomb_hit,root,,,PoisonDm+8;PoisonDmR+0;FireDmR-1;WaterDmR-1,,,,100,,,AddEff 526,,,,,,,,,,,1,
6569,超级玄蛇缠,874,21,0,1,1,0,,,毒伤*1，对方无法移动6秒,"<P><FONT color=""#88aadd"">作用目标：宠物自身为中心200范围内的所有敌人</FONT></P><P><FONT color=""#808000"">左键单击设为自动释放</FONT></P>",pic_skill_pet_15s,50,,,0,,,10,0,60,1,1850,10000,skill02,,shit,epn_skill_23,,,,,root,,,0,0,,,11,1,,200,1,1,1,,0,eff_bomb_hit,root,,,PoisonDm+8;PoisonDmR+0;FireDmR-1;WaterDmR-1,,,,100,,,AddEff 527,,,,,,,,,,,1,
6570,初级火凤烧天,875,21,0,1,1,0,,,火伤加成=0.5,"<P><FONT color=""#88aadd"">作用目标：以敌人为中心200范围内的5个敌人</FONT></P><P><FONT color=""#808000"">左键单击设为自动释放</FONT></P>",pic_skill_pet_16c,60,,,0,,,11,0,200,1,1850,10000,skill02,,shit,ept_skill_23,,,,,root,,,0,0,,,11,1,5,200,1,1,0,,0,epf_skill_23hit,root,,,FireDm+1;FireDmR-0.625;WaterDmR-1;PoisonDmR-1,,,,,,,,,,,,,,,,,,,
6571,中级火凤烧天,875,21,0,1,1,0,,,火伤加成=0.8,"<P><FONT color=""#88aadd"">作用目标：以敌人为中心200范围内的5个敌人</FONT></P><P><FONT color=""#808000"">左键单击设为自动释放</FONT></P>",pic_skill_pet_16b,60,,,0,,,11,0,200,1,1850,10000,skill02,,shit,ept_skill_23,,,,,root,,,0,0,,,11,1,5,200,1,1,0,,0,epf_skill_23hit,root,,,FireDm+1;FireDmR-0.55;WaterDmR-1;PoisonDmR-1,,,,,,,,,,,,,,,,,,,
6572,高级火凤烧天,875,21,0,1,1,0,,,火伤加成=1.2,"<P><FONT color=""#88aadd"">作用目标：以敌人为中心200范围内的5个敌人</FONT></P><P><FONT color=""#808000"">左键单击设为自动释放</FONT></P>",pic_skill_pet_16a,60,,,0,,,11,0,200,1,1850,10000,skill02,,shit,ept_skill_23,,,,,root,,,0,0,,,11,1,5,200,1,1,0,,0,epf_skill_23hit,root,,,FireDm+1;FireDmR-0.45;WaterDmR-1;PoisonDmR-1,,,,,,,,,,,,,,,,,,,
6573,超级火凤烧天,875,21,0,1,1,0,,,火伤加成=1.2，50%对方每2秒降低1%生命持续10秒,"<P><FONT color=""#88aadd"">作用目标：以敌人为中心200范围内的5个敌人</FONT></P><P><FONT color=""#808000"">左键单击设为自动释放</FONT></P>",pic_skill_pet_16s,60,,,0,,,11,0,200,1,1850,10000,skill02,,shit,ept_skill_23,,,,,root,,,0,0,,,11,1,5,200,1,1,0,,0,epf_skill_23hit,root,,,FireDm+1;FireDmR-0.45;WaterDmR-1;PoisonDmR-1,,,,50,,,AddEff 528,,,,,,,,,,,,
6574,初级神龙闹海,876,21,0,1,1,0,,,水伤加成=0.5,"<P><FONT color=""#88aadd"">作用目标：以敌人为中心200范围内的5个敌人</FONT></P><P><FONT color=""#808000"">左键单击设为自动释放</FONT></P>",pic_skill_pet_17c,60,,,0,,,11,0,200,1,1850,10000,skill02,,shit,ept_skill_21,,,,,root,,,0,0,,,11,1,5,200,1,1,0,,0,epf_skill_21hit,root,,,WaterDm+1;WaterDmR-0.625;FireDmR-1;PoisonDmR-1,,,,,,,,,,,,,,,,,,,
6575,中级神龙闹海,876,21,0,1,1,0,,,水伤加成=0.8,"<P><FONT color=""#88aadd"">作用目标：以敌人为中心200范围内的5个敌人</FONT></P><P><FONT color=""#808000"">左键单击设为自动释放</FONT></P>",pic_skill_pet_17b,60,,,0,,,11,0,200,1,1850,10000,skill02,,shit,ept_skill_21,,,,,root,,,0,0,,,11,1,5,200,1,1,0,,0,epf_skill_21hit,root,,,WaterDm+1;WaterDmR-0.55;FireDmR-1;PoisonDmR-1,,,,,,,,,,,,,,,,,,,
6576,高级神龙闹海,876,21,0,1,1,0,,,水伤加成=1.2,"<P><FONT color=""#88aadd"">作用目标：以敌人为中心200范围内的5个敌人</FONT></P><P><FONT color=""#808000"">左键单击设为自动释放</FONT></P>",pic_skill_pet_17a,60,,,0,,,11,0,200,1,1850,10000,skill02,,shit,ept_skill_21,,,,,root,,,0,0,,,11,1,5,200,1,1,0,,0,epf_skill_21hit,root,,,WaterDm+1;WaterDmR-0.45;FireDmR-1;PoisonDmR-1,,,,,,,,,,,,,,,,,,,
6577,超级神龙闹海,876,21,0,1,1,0,,,水伤加成=1.2，50%对方每2秒降低4%法力持续10秒,"<P><FONT color=""#88aadd"">作用目标：以敌人为中心200范围内的5个敌人</FONT></P><P><FONT color=""#808000"">左键单击设为自动释放</FONT></P>",pic_skill_pet_17s,60,,,0,,,11,0,200,1,1850,10000,skill02,,shit,ept_skill_21,,,,,root,,,0,0,,,11,1,5,200,1,1,0,,0,epf_skill_21hit,root,,,WaterDm+1;WaterDmR-0.45;FireDmR-1;PoisonDmR-1,,,,50,,,AddEff 529,,,,,,,,,,,,
6578,初级龟蛇交合,877,21,0,1,1,0,,,火伤加成=0.5,"<P><FONT color=""#88aadd"">作用目标：以敌人为中心200范围内的5个敌人</FONT></P><P><FONT color=""#808000"">左键单击设为自动释放</FONT></P>",pic_skill_pet_18c,60,,,0,,,11,0,200,1,1850,10000,skill02,,shit,,,,,,root,,,0,0,,,11,1,5,200,1,1,0,,0,eph_skill_19hit,root,,,PoisonDm+1;PoisonDmR-0.625;FireDmR-1;WaterDmR-1,,,,,,,,,,,,,,,,,,,
6579,中级龟蛇交合,877,21,0,1,1,0,,,火伤加成=0.8,"<P><FONT color=""#88aadd"">作用目标：以敌人为中心200范围内的5个敌人</FONT></P><P><FONT color=""#808000"">左键单击设为自动释放</FONT></P>",pic_skill_pet_18b,60,,,0,,,11,0,200,1,1850,10000,skill02,,shit,,,,,,root,,,0,0,,,11,1,5,200,1,1,0,,0,eph_skill_19hit,root,,,PoisonDm+1;PoisonDmR-0.55;FireDmR-1;WaterDmR-1,,,,,,,,,,,,,,,,,,,
6580,高级龟蛇交合,877,21,0,1,1,0,,,火伤加成=1.2,"<P><FONT color=""#88aadd"">作用目标：以敌人为中心200范围内的5个敌人</FONT></P><P><FONT color=""#808000"">左键单击设为自动释放</FONT></P>",pic_skill_pet_18a,60,,,0,,,11,0,200,1,1850,10000,skill02,,shit,,,,,,root,,,0,0,,,11,1,5,200,1,1,0,,0,eph_skill_19hit,root,,,PoisonDm+1;PoisonDmR-0.45;FireDmR-1;WaterDmR-1,,,,,,,,,,,,,,,,,,,
